System,Source Hit@1,Source Hit@3,Source Hit@5,Source Hit@10,MRR@10,Gold-context Recall@1,Gold-context Recall@3,Gold-context Recall@5,Gold-context Recall@10
Basic RAG,96.80%,98.40%,99.00%,99.40%,0.9769,30.81%,69.84%,77.47%,82.81%
Advanced RAG,96.60%,99.00%,99.00%,99.20%,0.9769,30.59%,70.37%,77.54%,83.41%
