System,Retrieval misses @5,Decision errors,Decision errors despite source hit,% decision errors despite source hit,Answers with hallucinated claim,Hallucination answers despite source hit,Gold Recall@5 | correct,Gold Recall@5 | wrong
Basic RAG,5,189,187,98.94%,93,90,0.8097,0.7171
Advanced RAG,5,197,193,97.97%,87,85,0.8275,0.6951
